"title","company","location","source","fitScore","recommendation","decision","url"
"21062 - SW QA Manual Tester- Artillery tester","Qualitest","יקנעם","Drushim","100","apply","filtered_other","https://www.drushim.co.il/job/37202763/4432c7e4/"
"21062 - SW QA Manual Tester- Artillery tester","Qualitest","יקנעם","Drushim","100","apply","filtered_other","https://www.drushim.co.il/job/37202763/4432c7e4/"
"21062 - SW QA Manual Tester- Artillery tester","Qualitest","יקנעם","Drushim","100","apply","filtered_other","https://www.drushim.co.il/job/37202763/4432c7e4/"
"21062 - SW QA Manual Tester- Artillery tester","Qualitest","יקנעם","Drushim","100","apply","filtered_other","https://www.drushim.co.il/job/37202763/4432c7e4/"
"21062 - SW QA Manual Tester- Artillery tester","Qualitest","יקנעם","Drushim","100","apply","filtered_other","https://www.drushim.co.il/job/37202763/4432c7e4/"
"בודק/ת תוכנה QA","חברה חסויה","אור יהודהסוג משרה:","AllJobs","76","apply","filtered_other","https://www.alljobs.co.il/Search/UploadSingle.aspx?JobID=8650214"
"בודק/ת תוכנה QA","חברה חסויה","אור יהודהסוג משרה:","AllJobs","76","apply","filtered_other","https://www.alljobs.co.il/Search/UploadSingle.aspx?JobID=8650214"
"בודק/ת תוכנה QA","חברה חסויה","אור יהודהסוג משרה:","AllJobs","76","apply","filtered_other","https://www.alljobs.co.il/Search/UploadSingle.aspx?JobID=8650214"
"בודק/ת תוכנה QA","חברה חסויה","אור יהודהסוג משרה:","AllJobs","76","apply","filtered_other","https://www.alljobs.co.il/Search/UploadSingle.aspx?JobID=8650214"
"בודק/ת תוכנה QA","חברה חסויה","אור יהודהסוג משרה:","AllJobs","76","apply","filtered_other","https://www.alljobs.co.il/Search/UploadSingle.aspx?JobID=8650214"
"בודק/ת תוכנה QA","חברה חסויה","אור יהודהסוג משרה:","AllJobs","76","apply","filtered_other","https://www.alljobs.co.il/Search/UploadSingle.aspx?JobID=8650214"
"דרוש בודק /ת תוכנה אוטומציה לחברה בטחונית גדולה","חברה חסויה","Israel","AllJobs","74","review","filtered_other","https://www.alljobs.co.il/Search/UploadSingle.aspx?JobID=8598240"
"דרוש בודק /ת תוכנה אוטומציה לחברה בטחונית גדולה","חברה חסויה","Israel","AllJobs","74","review","filtered_other","https://www.alljobs.co.il/Search/UploadSingle.aspx?JobID=8598240"
"דרוש בודק /ת תוכנה אוטומציה לחברה בטחונית גדולה","חברה חסויה","Israel","AllJobs","74","review","filtered_other","https://www.alljobs.co.il/Search/UploadSingle.aspx?JobID=8598240"
"דרוש בודק /ת תוכנה אוטומציה לחברה בטחונית גדולה","חברה חסויה","Israel","AllJobs","74","review","filtered_other","https://www.alljobs.co.il/Search/UploadSingle.aspx?JobID=8598240"
"דרוש בודק /ת תוכנה אוטומציה לחברה בטחונית גדולה","חברה חסויה","Israel","AllJobs","74","review","filtered_other","https://www.alljobs.co.il/Search/UploadSingle.aspx?JobID=8598240"
"דרוש בודק /ת תוכנה אוטומציה לחברה בטחונית גדולה","חברה חסויה","Israel","AllJobs","74","review","filtered_other","https://www.alljobs.co.il/Search/UploadSingle.aspx?JobID=8598240"
"דרוש בודק /ת תוכנה אוטומציה לחברה בטחונית גדולה","חברה חסויה","Israel","AllJobs","74","review","filtered_other","https://www.alljobs.co.il/Search/UploadSingle.aspx?JobID=8598240"
"סטודנט/ית ל- Embedded Software QA.","חברה חסויה","קיסריהסוג משרה:","AllJobs","72","review","filtered_other","https://www.alljobs.co.il/Search/UploadSingle.aspx?JobID=8623254"
"סטודנט/ית ל- Embedded Software QA.","חברה חסויה","קיסריהסוג משרה:","AllJobs","72","review","filtered_other","https://www.alljobs.co.il/Search/UploadSingle.aspx?JobID=8623254"
"סטודנט/ית ל- Embedded Software QA.","חברה חסויה","קיסריהסוג משרה:","AllJobs","72","review","filtered_other","https://www.alljobs.co.il/Search/UploadSingle.aspx?JobID=8623254"
"סטודנט/ית ל- Embedded Software QA.","חברה חסויה","קיסריהסוג משרה:","AllJobs","72","review","filtered_other","https://www.alljobs.co.il/Search/UploadSingle.aspx?JobID=8623254"
"איש QA","חברה חסויה","Israel","AllJobs","68","review","filtered_other","https://www.alljobs.co.il/Search/UploadSingle.aspx?JobID=8646179"
"ל YIT דרוש /ה בודק /ת QA עם ניסיון בבדיקות WEB","חברה חסויה","Israel","AllJobs","68","review","filtered_other","https://www.alljobs.co.il/Search/UploadSingle.aspx?JobID=8668667"
